subjid,type,rho,noise,omega_rational,omega_lottery,omega_surebet
2152,bi_fof_muscimol,"0.64 [0.58, 0.71]","0.05 [0.04, 0.06]","0.84 [0.79, 0.88]","0.14 [0.10, 0.18]","0.03 [0.01, 0.04]"
2152,bi_fof_muscimol,"-0.10 [-0.27, 0.04]","0.03 [-0.01, 0.09]","-0.14 [-0.41, 0.17]","-0.09 [-0.15, -0.03]","0.23 [-0.03, 0.49]"
2152,uni_fof_muscimol,"-0.06 [-0.09, -0.02]","0.02 [0.00, 0.03]","-0.04 [-0.09, 0.01]","0.01 [-0.03, 0.04]","0.03 [0.01, 0.06]"
2152,bi_ppc_muscimol,"-0.02 [-0.07, 0.03]","0.00 [-0.01, 0.02]","0.02 [-0.04, 0.07]","-0.05 [-0.09, -0.00]","0.03 [-0.00, 0.07]"
2152,uni_ppc_muscimol,"0.01 [-0.02, 0.04]","0.00 [-0.01, 0.01]","-0.00 [-0.04, 0.04]","-0.03 [-0.06, 0.00]","0.03 [0.01, 0.05]"
2153,bi_fof_muscimol,"0.76 [0.67, 0.89]","0.05 [0.04, 0.07]","0.84 [0.78, 0.93]","0.15 [0.06, 0.21]","0.01 [0.00, 0.02]"
2153,bi_fof_muscimol,"-0.12 [-0.32, 0.05]","0.03 [-0.01, 0.09]","-0.13 [-0.40, 0.18]","-0.07 [-0.17, 0.04]","0.20 [-0.01, 0.46]"
2153,uni_fof_muscimol,"-0.06 [-0.10, -0.03]","0.02 [0.00, 0.03]","-0.04 [-0.08, 0.01]","0.01 [-0.02, 0.04]","0.03 [0.01, 0.06]"
2153,bi_ppc_muscimol,"-0.03 [-0.08, 0.03]","0.01 [-0.01, 0.02]","0.02 [-0.03, 0.07]","-0.03 [-0.07, 0.01]","0.01 [0.00, 0.04]"
2153,uni_ppc_muscimol,"0.01 [-0.02, 0.05]","0.00 [-0.01, 0.01]","-0.00 [-0.04, 0.03]","-0.01 [-0.04, 0.03]","0.01 [0.00, 0.02]"
2154,bi_fof_muscimol,"0.45 [0.42, 0.49]","0.06 [0.04, 0.08]","0.90 [0.83, 0.97]","0.04 [0.02, 0.06]","0.06 [0.00, 0.12]"
2154,bi_fof_muscimol,"-0.08 [-0.20, 0.03]","0.03 [-0.01, 0.10]","-0.09 [-0.31, 0.14]","-0.03 [-0.06, -0.01]","0.12 [-0.10, 0.34]"
2154,uni_fof_muscimol,"-0.04 [-0.06, -0.02]","0.02 [0.01, 0.04]","-0.02 [-0.05, 0.00]","-0.01 [-0.02, 0.01]","0.02 [0.00, 0.06]"
2154,bi_ppc_muscimol,"-0.02 [-0.05, 0.02]","0.01 [-0.01, 0.02]","0.01 [-0.02, 0.05]","-0.02 [-0.04, -0.00]","0.01 [-0.02, 0.04]"
2154,uni_ppc_muscimol,"0.01 [-0.01, 0.03]","0.00 [-0.01, 0.01]","0.00 [-0.02, 0.02]","-0.01 [-0.03, -0.00]","0.01 [-0.00, 0.04]"
2155,bi_fof_muscimol,"0.39 [0.36, 0.42]","0.05 [0.04, 0.06]","0.90 [0.78, 0.96]","0.05 [0.03, 0.07]","0.06 [0.01, 0.16]"
2155,bi_fof_muscimol,"-0.06 [-0.17, 0.03]","0.03 [-0.01, 0.08]","-0.08 [-0.29, 0.18]","-0.04 [-0.06, -0.01]","0.12 [-0.14, 0.33]"
2155,uni_fof_muscimol,"-0.03 [-0.05, -0.01]","0.02 [0.01, 0.03]","-0.03 [-0.08, 0.01]","-0.01 [-0.03, 0.01]","0.04 [0.01, 0.10]"
2155,bi_ppc_muscimol,"-0.01 [-0.04, 0.02]","0.01 [-0.01, 0.02]","0.01 [-0.02, 0.05]","-0.02 [-0.04, -0.00]","0.01 [-0.02, 0.05]"
2155,uni_ppc_muscimol,"0.01 [-0.01, 0.03]","0.00 [-0.01, 0.01]","-0.00 [-0.03, 0.03]","-0.02 [-0.04, 0.00]","0.02 [0.00, 0.05]"
2156,bi_fof_muscimol,"0.47 [0.44, 0.50]","0.02 [0.01, 0.03]","0.74 [0.69, 0.78]","0.14 [0.12, 0.17]","0.12 [0.08, 0.16]"
2156,bi_fof_muscimol,"-0.08 [-0.20, 0.03]","0.01 [-0.00, 0.04]","-0.15 [-0.45, 0.25]","-0.12 [-0.15, -0.09]","0.27 [-0.13, 0.58]"
2156,uni_fof_muscimol,"-0.04 [-0.06, -0.02]","0.01 [0.00, 0.01]","-0.05 [-0.11, 0.01]","-0.03 [-0.06, 0.00]","0.08 [0.02, 0.14]"
2156,bi_ppc_muscimol,"-0.02 [-0.05, 0.02]","0.00 [-0.00, 0.01]","0.02 [-0.05, 0.09]","-0.07 [-0.11, -0.03]","0.05 [-0.02, 0.12]"
2156,uni_ppc_muscimol,"0.01 [-0.01, 0.03]","0.00 [-0.00, 0.00]","-0.00 [-0.05, 0.05]","-0.06 [-0.09, -0.03]","0.06 [0.01, 0.11]"
2160,bi_fof_muscimol,"0.60 [0.55, 0.66]","0.03 [0.02, 0.04]","0.78 [0.74, 0.83]","0.18 [0.14, 0.22]","0.03 [0.01, 0.06]"
