"cellid","probeid","channelid","ss_cluster","cluster","nSpikes","overlap","ss_filename","frac_bad_isi","snr","recorded_on_right","rate","width","height","halfwidth","spksortid","label","sessid","ad_channel","filename","pathname","AP","DV","ML","target","samplerate","subjid","n_channels","probe_num","target_location","target_AP","target_ML","target_DV","made_by","made_on","notes","probename","BS_AP","BS_ML","rotation","tilt_angle","tilt_direction","firing_rate","presence_ratio","isi_viol","amp_cutoff","isolation_distance","l_ratio","d_prime","nn_hit_rate","nn_miss_rate","silhouette_score","max_drift","cum_drift","spike_duration","half_width","pt_ratio","repolarization_slope","recovery_slope","snr_best_chan","snr_total","amplitude","spread","velocity_above","velocity_below"
18871,25,52223,6,1,47988,0.000437609,"spike_times.npy",0.00243816,NA,0,8.24394,NA,50.4999,NA,579,"multi",229277,9,"100_CH9.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,8.15538,0.99,0.206893,0.5,97.6637,0.00439289,3.83385,0.987333,0.0203193,0.0949306,11.38,11.38,0.633333,0.3,0.277113,0.0842585,-0.0135067,2.38136,3.66888,49.9405,NA,NA,NA
18873,25,52099,7,2,24734,0.000404302,"spike_times.npy",0.000849068,NA,0,4.2491,NA,64.4906,NA,579,"single",229277,10,"100_CH10.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,4.20345,0.99,0.137015,0.000143033,44.2854,0.0445482,5.49266,0.98,0.00294659,0.0971719,14.84,14.84,0.633333,0.333333,0.327987,0.213196,-0.0391479,4.72353,7.38028,124.114,NA,NA,NA
18875,25,52101,8,3,2676,0.520179,"spike_times.npy",0.000747664,NA,0,0.459715,NA,119.003,NA,579,"single",229277,11,"100_CH11.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,0.454776,0.96,1.23194,0.5,27.2578,0.576687,4.45482,0.909605,0.000407208,0.0353179,50.39,50.39,0.833333,0.233333,0.197584,0.196668,-0.0370527,5.49323,7.3823,161.965,NA,NA,NA
18877,25,52103,9,4,38900,0.00092545,"spike_times.npy",0.00128538,NA,0,6.6827,NA,49.0532,NA,579,"single",229277,12,"100_CH12.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,6.61091,0.99,0.122447,0.103349,59.95,0.187468,-3.20649,0.882,0.0345387,0.0552248,16.84,16.84,0.7,0.366667,0.324016,0.11697,-0.0217474,2.84531,5.0991,68.9441,NA,NA,NA
18879,25,52107,10,5,36684,0.000545197,"spike_times.npy",0.00201728,NA,0,6.30201,NA,40.851,NA,579,"multi",229277,14,"100_CH14.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,6.23431,0.99,0.239278,0.5,33.261,0.295331,-2.04448,0.786,0.0888889,0.0552248,6.76,6.76,0.733333,0.366667,0.324547,0.0847764,-0.0166493,2.03244,3.75943,50.5028,NA,NA,NA
18881,25,52135,18,6,14529,0.000412967,"spike_times.npy",0.000481828,NA,0,2.49596,NA,53.7688,NA,579,"single",229277,27,"100_CH27.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,2.46915,0.99,0.0940575,0.0147494,NA,NA,NA,NA,NA,0.0684125,12.18,12.18,0.666667,0.333333,0.332803,0.130229,-0.0247264,3.11575,5.54635,76.4307,NA,NA,NA
18883,25,52139,19,7,37366,0.000963443,"spike_times.npy",0.00792185,NA,0,6.41917,NA,69.3509,NA,579,"multi",229277,29,"100_CH29.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,6.35021,0.99,0.580247,0.5,11426.8,0.000118769,-7.30496,0.998,0.00534759,0.0830151,16.07,16.07,0.666667,0.366667,0.35167,0.102141,-0.0215342,2.37216,3.93379,60.2714,NA,NA,NA
18885,25,52175,30,8,22895,0.00393099,"spike_times.npy",0.00113567,NA,0,3.93317,NA,61.3348,NA,579,"single",229277,45,"100_CH45.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,3.89092,0.99,0.159926,0.5,22.1746,1.0833,3.33763,0.751333,0.0177988,0.105005,63.69,63.69,0.666667,0.333333,0.58974,0.152626,-0.0605825,2.68641,5.60941,96.028,NA,NA,NA
18887,25,52201,31,9,64120,0.000545852,"spike_times.npy",0.000748608,NA,0,11.0153,NA,69.77,NA,579,"single",229277,57,"100_CH57.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,10.897,0.99,0.0455982,0.169452,44.5104,0.232524,2.19559,0.779333,0.180693,0.0644422,21.96,21.96,0.3,0.2,0.229017,0.0842277,-0.0222605,2.79679,5.73162,86.1659,NA,NA,NA
18889,25,52201,32,10,75039,0.000506403,"spike_times.npy",0.00530398,NA,0,12.8911,NA,77.0517,NA,579,"multi",229277,57,"100_CH57.continuous","Record Node 101",NA,NA,NA,NA,30000,2224,64,6893,"right FOF",2.5,1.4,-0.51,"Cambridge Neurotech","2021-06-03","","2224_1",NA,NA,NA,NA,NA,12.7526,0.99,0.305165,0.5,37.9879,0.360695,1.87581,0.755333,0.219881,0.0730915,36.48,36.48,0.8,0.266667,0.411947,0.158217,-0.0344446,3.4508,6.87743,115.99,NA,NA,NA
