cellid,beta,p,aligned_to,start,end,R_squared
18871,2.47014168625933,0.0154349601610052,1,0,0.5,0.0634911380597014
18871,5.38473233815804,5.96493628478096e-07,1,0.5,1,0.243667876238742
18871,-1.60981428655074,0.11102000162561,3,-0.5,0,0.0279885516506921
18873,-1.29821301322055,0.197606278391026,1,0,0.5,0.0183819650414414
18873,3.78174458017601,0.000283308339295675,1,0.5,1,0.137117677553136
18873,5.35694155582507,6.69863272940685e-07,3,-0.5,0,0.241765719989111
18877,0.884469014271866,0.378853293795352,1,0,0.5,0.00861715954207976
18877,5.97711835087666,4.74226903099625e-08,1,0.5,1,0.284157292490015
18877,-6.45496987952299,5.72947377642552e-09,3,-0.5,0,0.316455537752854
18879,-1.73913043478261,0.0855086912397424,1,0,0.5,0.032513716724243
18879,0.617333422354195,0.538608955088149,1,0.5,1,0.00421659563800447
18879,5.64184999082414,2.01438010206654e-07,3,-0.5,0,0.261268556005398
18881,0.893712506753953,0.373913423804443,1,0,0.5,0.00879662209711474
18881,2.55320328345627,0.0123963674111048,1,0.5,1,0.0675396278428669
18881,3.88415676248179,0.000198346464750921,3,-0.5,0,0.143564100150602
18883,0.308353015787661,0.758542469425567,1,0,0.5,0.00105534709193233
18883,6.23574809106056,1.52129324579316e-08,1,0.5,1,0.301700653580117
18883,2.36054452491939,0.0204576661056824,3,-0.5,0,0.0583032741398445
18885,4.38813573232404,3.16453194810919e-05,1,0,0.5,0.176244616990735
18885,4.41392002781404,2.87105470686548e-05,1,0.5,1,0.177952240758914
18885,-6.44823166206567,5.90501186340866e-09,3,-0.5,0,0.316003868623475
18887,0.922214222137537,0.358938387161568,1,0,0.5,0.166804644697636
18887,4.85732825542302,5.13484228239344e-06,1,0.5,1,0.207702105873499
18887,1.55467531409096,0.123612649543536,3,-0.5,0,0.0261533584865787
18889,1.13479440718655,0.259543041010652,1,0,0.5,0.0141065830721003
18889,1.25593709804081,0.212463055971166,1,0.5,1,0.0172245376400104
18889,-3.79588017048508,0.000269798066522184,3,-0.5,0,0.138002919331296
18901,3.13782812502565,0.00231585458328462,1,0,0.5,0.0986115493846639
18901,5.49268959376613,3.79145316177189e-07,1,0.5,1,0.251058746878054
18901,3.02612557415542,0.00324791311555078,3,-0.5,0,0.0923524887375012
18905,3.18194950406469,0.00202173961299067,1,0,0.5,0.101121823752027
18905,1.6010023015786,0.112960402738843,1,0.5,1,0.0276914382593954
18905,-4.92719844622269,3.88481042539253e-06,3,-0.5,0,0.302835246878199
18909,1.69080935129708,0.0944123508456464,1,0,0.5,0.0307869059908755
18909,5.94673444183659,5.41366612202745e-08,1,0.5,1,0.2820885509839
18909,11.3937724379379,5.23285497931232e-19,3,-0.5,0,0.590570474765248
18911,2.11402254447421,0.0373426605398897,1,0,0.5,0.0473074447543446
18911,2.91209217190579,0.00454874794907292,1,0.5,1,0.0861114605610768
18911,1.0518124456937,0.295765321582455,3,-0.5,0,0.0121430604306992
18913,1.85000369546855,0.0676691369577641,1,0,0.5,0.0366347846860318
18913,5.37032895866448,6.33477884900482e-07,1,0.5,1,0.242681992702872
18913,2.38317507675423,0.01931522230215,3,-0.5,0,0.0593598634470677
18915,-0.38908574989809,0.698152621407317,1,0,0.5,0.00167926112510497
18915,2.90396570935056,0.0046577202739716,1,0.5,1,0.0856726443191178
18915,2.90030475628349,0.00470759321129347,3,-0.5,0,0.085475221893491
18917,-0.367331639983726,0.71425357677036,1,0,0.5,0.00149700598802394
18917,-3.64727274702601,0.000448404291043577,1,0.5,1,0.128773125608568
18917,-4.32707013651548,3.97978837140779e-05,3,-0.5,0,0.17221235310194
18919,-0.441568173195666,0.659884854535407,1,0,0.5,0.00216178823122493
18919,-4.83067132262194,5.70847392988002e-06,1,0.5,1,0.205896731539249
18919,-4.72288966816538,8.73277515058098e-06,3,-0.5,0,0.198615826586576
18921,-0.148006097976857,0.882676562546155,1,0,0.5,0.000243338605669718
18921,0.439420943737721,0.661433737255588,1,0.5,1,0.00214085983921708
18921,-3.28851028593422,0.00144892845587997,3,-0.5,0,0.107269503546099
18923,1.33143574209502e-16,1,1,0,0.5,0
18923,0.527453419495265,0.599206088934077,1,0.5,1,0.00308166409861332
