trialid,lottery_mag,lottery_prob,sb_mag,fixation_time,lottery_poke,surebet_poke,subj_choice,RT_choice,RT_fixation,reward_received,lottery_outcome,trial_in_block,block_number,trial_number,block_length,ex_fixation,ex_choice,ITI,ex_ITI,viol,reward,trialnum,RT,sessid,subjid,trialtime,pre_lm,pre_subjchoice,pre_loutcome,choice,cue_t,target_t
29047841,0.5,0.6,4,1,"BotL","BotR","lottery",0.360915,1.11468,6,"win",1,1,1,48,0,0,1,5,0,6,1,0.360915,229277,2224,"2021-06-18 05:48:32.4176",8,"violation","win","lottery",6.26524599999902,7.62603300000046
29047889,4,0.6,4,1,"BotL","BotR","lottery",0.268493,0.418152,48,"win",3,1,3,48,0,0,4.45628,0,0,48,3,0.268493,229277,2224,"2021-06-18 05:48:59.646",32,"lottery","lose","lottery",33.0416879999975,34.3100219999978
29047969,8,0.6,4,1,"BotL","BotR","lottery",0.370331,0.36565,0,"lose",5,1,5,48,0,1,4.52448,7,0,0,5,0.370331,229277,2224,"2021-06-18 05:49:51.0256",0.5,"surebet","lose","lottery",83.9460890000009,85.3162940000002
29048073,8,0.6,4,1,"BotL","BotR","lottery",0.982285,1.06007,0,"lose",7,1,7,48,0,1,7.81575,24,0,0,7,0.982285,229277,2224,"2021-06-18 05:50:49.8166",4,"lottery","lose","lottery",142.142655,144.124818999997
29048147,2,0.6,4,1,"BotL","BotR","lottery",1.47267,11.1282,24,"win",9,1,9,48,1,2,4.69361,0,0,24,9,1.47267,229277,2224,"2021-06-18 05:51:35.6141",16,"lottery","win","lottery",188.451016999996,190.923540999996
29048171,16,0.6,4,1,"BotL","BotR","lottery",0.418626,1.76685,192,"win",10,1,10,48,0,0,7.51588,0,0,192,10,0.418626,229277,2224,"2021-06-18 05:51:51.4047",2,"lottery","win","lottery",205.179985999996,206.598498999996
29048205,2,0.6,4,1,"BotL","BotR","surebet",2.66735,2.22794,48,"win",11,1,11,48,1,4,6.35792,0,0,48,11,2.66735,229277,2224,"2021-06-18 05:52:08.6346",16,"lottery","win","surebet",220.296112,223.963283999998
29048249,4,0.6,4,1,"BotL","BotR","surebet",1.93045,7.18731,48,"lose",12,1,12,48,0,2,6.6565,0,0,48,12,1.93045,229277,2224,"2021-06-18 05:52:30.6329",2,"surebet","win","surebet",242.749056999997,245.679371999999
29048313,2,0.6,4,1,"BotL","BotR","lottery",2.09376,14.9589,24,"win",13,1,13,48,0,3,7.5845,9,0,24,13,2.09376,229277,2224,"2021-06-18 05:53:11.1381",4,"surebet","lose","lottery",283.234726999999,286.328378000002
29048331,2,0.6,4,1,"BotL","BotR","lottery",0.294693,0.633169,0,"lose",14,1,14,48,0,1,6.54271,0,0,0,14,0.294693,229277,2224,"2021-06-18 05:53:25.9331",2,"lottery","win","lottery",298.586157999998,300.230505
29048361,2,0.6,4,1,"BotL","BotR","surebet",2.6044,4.42359,48,"win",15,1,15,48,0,3,7.55343,0,0,48,15,2.6044,229277,2224,"2021-06-18 05:53:46.5921",2,"lottery","lose","surebet",318.192273000001,321.796514000001
29048401,8,0.6,4,1,"BotL","BotR","lottery",0.260077,1.95722,0,"lose",17,1,17,48,0,0,5.54508,0,0,0,17,0.260077,229277,2224,"2021-06-18 05:54:15.833",4,"lottery","lose","lottery",348.866599999998,350.126516999997
29048419,4,0.6,4,1,"BotL","BotR","surebet",2.06961,1.66301,48,"lose",18,1,18,48,0,4,4.4037,0,0,48,18,2.06961,229277,2224,"2021-06-18 05:54:29.8932",8,"lottery","lose","surebet",362.171936999999,365.320833999998
