trialid,lottery_mag,lottery_prob,sb_mag,fixation_time,lottery_poke,surebet_poke,subj_choice,RT_choice,RT_fixation,reward_received,lottery_outcome,trial_in_block,block_number,trial_number,block_length,ex_fixation,ex_choice,ITI,ex_ITI,viol,reward,trialnum,RT,sessid,subjid,trialtime
28770395,4,0.6,4,1,,BotR,surebet,0.364743,1.71624,48,win,1,1,1,60,0,0,1,0,0,48,1,0.364743,227661,2224,2021-06-11 05:35:15.4214
28770437,8,0.6,4,1,BotL,BotR,surebet,0.33752,16.9483,48,lose,2,1,2,60,0,1,5.40829,0,0,48,2,0.33752,227661,2224,2021-06-11 05:35:45.9104
28770455,0.5,0.6,4,1,BotL,BotR,surebet,0.315928,0.99823,48,win,3,1,3,60,0,1,5.88152,0,0,48,3,0.315928,227661,2224,2021-06-11 05:35:59.2621
28770481,8,0.6,4,1,BotL,,lottery,2.1935,1.12212,0,lose,4,1,4,60,0,5,6.74268,0,0,0,4,2.1935,227661,2224,2021-06-11 05:36:16.5237
28770509,0.5,0.6,4,1,BotL,,lottery,0.316467,4.37711,0,lose,5,1,5,60,0,1,7.65263,0,0,0,5,0.316467,227661,2224,2021-06-11 05:36:36.3244
28770529,0.5,0.6,4,1,BotL,,lottery,1.06758,0.857679,6,win,6,1,6,60,0,3,7.44273,0,0,6,6,1.06758,227661,2224,2021-06-11 05:36:51.8693
28770545,0.5,0.6,4,1,BotL,BotR,surebet,0.300324,1.72072,48,win,7,1,7,60,0,1,5.46054,0,0,48,7,0.300324,227661,2224,2021-06-11 05:37:05.6004
28770565,8,0.6,4,1,BotL,BotR,surebet,0.328389,0.634093,48,win,8,1,8,60,0,1,7.88646,0,0,48,8,0.328389,227661,2224,2021-06-11 05:37:19.7996
28770583,0.5,0.6,4,1,,BotR,surebet,0.330731,0.916361,48,win,9,1,9,60,0,1,7.13636,0,0,48,9,0.330731,227661,2224,2021-06-11 05:37:33.9968
28770595,2,0.6,4,1,BotL,BotR,surebet,0.306544,0.993929,48,win,10,1,10,60,0,0,4.05257,0,0,48,10,0.306544,227661,2224,2021-06-11 05:37:45.2921
28770615,32,0.6,4,1,BotL,,lottery,1.13124,0.359817,384,win,11,1,11,60,0,3,4.2273,0,0,384,11,1.13124,227661,2224,2021-06-11 05:37:57.156
