"sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750221,4,0.55,3,1,"BotR","BotL","surebet",1.16058,5.05532,24,"lose",2,1,2,48,1,1,3.63391,0,0,24,2,1.16058,2152,"2020-08-27 14:16:31.0468",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,0.43835179097142,"BotR",-6.4,0
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750231,2,0.55,3,1,"BotR","BotL","surebet",1.22522,1.49107,24,"lose",3,1,3,48,0,1,5.81244,1,0,24,3,1.22522,2152,"2020-08-27 14:16:44.7690",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,0.492552330520238,"BotR",-15.2,0
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750243,0,0.55,3,1,"BotR","BotL","surebet",0.791803,1.1165,24,"lose",4,1,4,48,0,2,5.36669,0,0,24,4,0.791803,2152,"2020-08-27 14:17:00.0508",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,0.0559892553297764,"BotR",-24,0
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750251,4,0.55,3,1,"BotR","BotL","lottery",1.27106,1.48011,32,"win",5,1,5,48,0,2,3.55325,0,0,32,5,1.27106,2152,"2020-08-27 14:17:15.4613",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,1,0,"surebet",0,0.529283108828284,"BotR",-6.4,1
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750299,4,0.55,3,1,"BotR","BotL","lottery",1.48985,40.3878,32,"win",6,1,6,48,3,3,7.45466,0,0,32,6,1.48985,2152,"2020-08-27 14:18:10.9792",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,32,1,1,"lottery_win",1,0.688107354560245,"BotR",-6.4,1
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750337,16,0.55,3,1,"BotR","BotL","lottery",1.73592,1.35578,0,"lose",8,1,8,48,0,2,6.5346,1,0,0,8,1.73592,2152,"2020-08-27 14:18:56.2893",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,0.840969443038494,"BotR",46.4,1
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750349,16,0.55,3,1,"BotR","BotL","surebet",1.89161,2.33497,24,"win",9,1,9,48,0,1,7.19104,1,0,24,9,1.89161,2152,"2020-08-27 14:19:13.2941",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,0,0,1,"lottery_lose",-1,0.926860229115028,"BotR",46.4,0
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750359,16,0.55,3,1,"BotR","BotL","surebet",0.799457,0.472462,24,"win",10,1,10,48,0,1,5.34971,0,0,24,10,0.799457,2152,"2020-08-27 14:19:26.5164",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,0,0,"surebet",0,0.0656093790422184,"BotR",46.4,0
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750373,4,0.55,3,1,"BotR","BotL","surebet",3.00652,1.47269,24,"win",11,1,11,48,2,4,6.02406,0,0,24,11,3.00652,2152,"2020-08-27 14:19:43.4826",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,1.39021517454031,"BotR",-6.4,0
166409,"muscimol",0.3,1,"infusion",1,"Bilateral FOF",0.3,"B","1",20750403,4,0.55,3,1,"BotR","BotL","lottery",3.13221,0.276589,0,"lose",13,1,13,48,0,2,3.35453,1,0,0,13,3.13221,2152,"2020-08-27 14:20:18.0216",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,1,0,"surebet",0,1.43117073650074,"BotR",-6.4,1
