"sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886459,32,0.55,3,1,"BotR","BotL","surebet",0.69,0.640132,24,"win",2,1,2,48,0,1,7.56452,0,0,24,2,0.69,2152,"2020-09-03 14:30:59.3668",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,0.0362647149254027,"BotR",116.8,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886477,4,0.55,3,1,"BotR","BotL","surebet",0.315757,0.829585,24,"lose",3,1,3,48,0,0,7.1171,0,0,24,3,0.315757,2152,"2020-09-03 14:31:14.5733",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.745453952243194,"BotR",-6.4,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886543,0,0.55,3,1,"BotR","BotL","surebet",0.610322,43.6407,24,"lose",5,1,5,48,0,1,4.67686,0,0,24,5,0.610322,2152,"2020-09-03 14:32:21.4897",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.086440195919839,"BotR",-24,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886555,16,0.55,3,1,"BotR","BotL","lottery",0.487127,0.291753,128,"win",6,1,6,48,0,0,7.17972,1,0,128,6,0.487127,2152,"2020-09-03 14:32:42.1402",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.311902013293107,"BotR",46.4,1
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886577,0,0.55,3,1,"BotR","BotL","surebet",1.84151,6.15735,24,"win",7,1,7,48,0,3,3.19657,0,0,24,7,1.84151,2152,"2020-09-03 14:33:00.6558",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,128,0,1,"lottery_win",1,1.01791428356016,"BotR",-24,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886615,32,0.55,3,1,"BotR","BotL","surebet",1.31812,13.4536,24,"win",9,1,9,48,0,1,5.07384,0,0,24,9,1.31812,2152,"2020-09-03 14:33:41.4645",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,0,1,"lottery_lose",-1,0.683534875292991,"BotR",116.8,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886625,8,0.55,3,1,"BotR","BotL","surebet",0.376693,0.863811,24,"win",10,1,10,48,0,1,4.59593,0,0,24,10,0.376693,2152,"2020-09-03 14:33:51.8917",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,-0.568996350566896,"BotR",11.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886723,32,0.55,3,1,"BotR","BotL","surebet",2.49306,48.5759,24,"lose",12,1,12,48,0,3,7.86259,0,0,24,12,2.49306,2152,"2020-09-03 14:35:18.7171",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,0,1,"lottery_lose",-1,1.32083926795673,"BotR",116.8,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886741,8,0.55,3,1,"BotR","BotL","surebet",0.59832,0.625234,24,"win",13,1,13,48,0,1,7.69484,0,0,24,13,0.59832,2152,"2020-09-03 14:35:34.8661",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,-0.10630115478249,"BotR",11.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886751,2,0.55,3,1,"BotR","BotL","surebet",0.532218,0.60103,24,"win",14,1,14,48,0,1,7.44865,0,0,24,14,0.532218,2152,"2020-09-03 14:35:50.7979",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.223373702822783,"BotR",-15.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886767,4,0.55,3,1,"BotR","BotL","surebet",0.605645,0.86957,24,"win",15,1,15,48,0,1,6.28816,0,0,24,15,0.605645,2152,"2020-09-03 14:36:05.3926",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.0941328768303331,"BotR",-6.4,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886781,32,0.55,3,1,"BotR","BotL","surebet",3.58609,1.88191,24,"win",16,1,16,48,0,5,5.41126,0,0,24,16,3.58609,2152,"2020-09-03 14:36:23.5871",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,1.68439086878602,"BotR",116.8,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886803,16,0.55,3,1,"BotR","BotL","lottery",0.547402,0.953729,128,"win",17,1,17,48,0,2,6.67902,0,0,128,17,0.547402,2152,"2020-09-03 14:36:40.3123",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.195243432430631,"BotR",46.4,1
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886817,32,0.55,3,1,"BotR","BotL","surebet",0.474345,2.35414,24,"lose",18,1,18,48,0,0,5.88637,0,0,24,18,0.474345,2152,"2020-09-03 14:36:55.8976",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,128,0,1,"lottery_win",1,-0.33849197762253,"BotR",116.8,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886843,8,0.55,3,1,"BotR","BotL","surebet",0.589104,5.81726,24,"win",20,1,20,48,0,0,5.64266,0,0,24,20,0.589104,2152,"2020-09-03 14:37:31.8302",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,256,0,1,"lottery_win",1,-0.12182414414264,"BotR",11.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886871,8,0.55,3,1,"BotR","BotL","surebet",0.49121,5.20573,24,"win",22,1,22,48,0,1,7.98148,0,0,24,22,0.49121,2152,"2020-09-03 14:38:04.7836",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,0,1,"lottery_lose",-1,-0.303555147734008,"BotR",11.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886897,16,0.55,3,1,"BotR","BotL","lottery",1.75911,0.660482,128,"win",23,1,23,48,0,2,4.89787,0,0,128,23,1.75911,2152,"2020-09-03 14:38:21.7368",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,0.972136395647943,"BotR",46.4,1
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886907,16,0.55,3,1,"BotR","BotL","lottery",0.357425,0.559388,128,"win",24,1,24,48,0,1,7.91686,1,0,128,24,0.357425,2152,"2020-09-03 14:38:38.1644",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,128,1,1,"lottery_win",1,-0.621501332750675,"BotR",46.4,1
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886921,32,0.55,3,1,"BotR","BotL","lottery",0.326897,1.20214,256,"win",25,1,25,48,0,1,3.30328,0,0,256,25,0.326897,2152,"2020-09-03 14:38:49.8368",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,128,1,1,"lottery_win",1,-0.710781746096232,"BotR",116.8,1
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886933,8,0.55,3,1,"BotR","BotL","surebet",0.567428,3.62491,24,"win",26,1,26,48,0,0,4.36324,0,0,24,26,0.567428,2152,"2020-09-03 14:39:05.2636",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,256,0,1,"lottery_win",1,-0.159313013606005,"BotR",11.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20886961,2,0.55,3,1,"BotR","BotL","surebet",0.554764,1.35464,24,"win",28,1,28,48,0,1,3.12811,0,0,24,28,0.554764,2152,"2020-09-03 14:39:32.3575",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.181884084578577,"BotR",-15.2,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20887005,16,0.55,3,1,"BotR","BotL","lottery",0.367569,31.3463,0,"lose",29,1,29,48,0,0,7.89289,0,0,0,29,0.367569,2152,"2020-09-03 14:40:18.1931",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.593515826534753,"BotR",46.4,1
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20887025,4,0.55,3,1,"BotR","BotL","surebet",0.375659,9.78068,24,"lose",30,1,30,48,0,1,5.6002,0,0,24,30,0.375659,2152,"2020-09-03 14:40:41.1029",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,0,0,1,"lottery_lose",-1,-0.57174506566575,"BotR",-6.4,0
167823,"muscimol",0.3,1,"infusion",1,"Bilateral PPC",0.3,"B","0",20887041,8,0.55,3,1,"BotR","BotL","surebet",0.527203,0.326568,24,"lose",32,1,32,48,0,1,4.45521,0,0,24,32,0.527203,2152,"2020-09-03 14:41:07.9803",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,-0.232841209053735,"BotR",11.2,0
