"sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227163,8,0.55,3,1,"BotR","BotL","surebet",0.615574,0.346885,24,"lose",4,1,6,48,0,1,7.04497,0,0,24,6,0.615574,2152,"2020-07-30 14:37:19.7251",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,0,1,"lottery_lose",-1,-0.24372845475215,"BotR",11.2,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227171,32,0.55,3,1,"BotR","BotL","surebet",2.80694,3.73064,24,"lose",5,1,7,48,0,4,6.27595,0,0,24,7,2.80694,2152,"2020-07-30 14:37:39.7351",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,1.27356658039257,"BotR",116.8,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227185,2,0.55,3,1,"BotR","BotL","surebet",0.571184,3.63986,24,"win",6,1,8,48,0,1,5.85798,0,0,24,8,0.571184,2152,"2020-07-30 14:37:57.4666",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.318572221178697,"BotR",-15.2,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227201,4,0.55,3,1,"BotR","BotL","surebet",0.530857,1.72668,24,"win",9,1,11,48,0,1,7.46204,0,0,24,11,0.530857,2152,"2020-07-30 14:38:43.0603",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.391790938835455,"BotR",-6.4,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227219,16,0.55,3,1,"BotR","BotL","lottery",1.00098,0.229617,128,"win",11,1,13,48,0,2,7.12259,0,0,128,13,1.00098,2152,"2020-07-30 14:39:09.7382",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,0,1,1,"lottery_lose",-1,0.242451178488369,"BotR",46.4,1
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227239,0,0.55,3,1,"BotR","BotL","surebet",0.375093,2.3476,24,"lose",13,1,15,48,0,1,6.49969,0,0,24,15,0.375093,2152,"2020-07-30 14:39:46.2464",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.739109625383774,"BotR",-24,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227249,16,0.55,3,1,"BotR","BotL","lottery",1.67754,0.938875,128,"win",14,1,16,48,0,1,3.87883,0,0,128,16,1.67754,2152,"2020-07-30 14:39:59.6639",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,0.758800092961732,"BotR",46.4,1
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227259,8,0.55,3,1,"BotR","BotL","surebet",2.82741,1.9783,24,"lose",15,1,17,48,0,1,6.22003,0,0,24,17,2.82741,2152,"2020-07-30 14:40:17.5167",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,128,0,1,"lottery_win",1,1.28083275663769,"BotR",11.2,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227271,32,0.55,3,1,"BotR","BotL","surebet",0.514152,1.42842,24,"win",16,1,18,48,0,1,7.27735,0,0,24,18,0.514152,2152,"2020-07-30 14:40:36.1823",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,-0.42376467902424,"BotR",116.8,0
160969,"muscimol",0.3,1,"infusion",1,"Left FOF",0.3,"L",NA,20227281,4,0.55,3,1,"BotR","BotL","surebet",0.44898,0.193241,24,"win",17,1,19,48,0,0,7.30209,0,0,24,19,0.44898,2152,"2020-07-30 14:40:51.2723",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.559305277286947,"BotR",-6.4,0
