"sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484643,8,0.55,3,1,"BotR","BotL","surebet",0.440221,6.68756,24,"lose",3,1,3,48,0,1,4.40106,0,0,24,3,0.440221,2152,"2020-08-13 14:11:49.0764",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,256,0,1,"lottery_win",1,-0.327674966837811,"BotR",11.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484661,2,0.55,3,1,"BotR","BotL","surebet",0.3811,0.247171,24,"win",5,1,5,48,0,1,5.09414,0,0,24,5,0.3811,2152,"2020-08-13 14:12:12.1324",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.471890032500852,"BotR",-15.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484671,4,0.55,3,1,"BotR","BotL","surebet",0.584876,0.28972,24,"win",6,1,6,48,0,1,5.31745,0,0,24,6,0.584876,2152,"2020-08-13 14:12:24.2258",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.0435519814287032,"BotR",-6.4,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484681,16,0.55,3,1,"BotR","BotL","lottery",0.3443,0.934225,0,"lose",7,1,7,48,0,1,6.80355,1,0,0,7,0.3443,2152,"2020-08-13 14:12:39.2649",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.573438470036188,"BotR",46.4,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484687,16,0.55,3,1,"BotR","BotL","lottery",0.32709,5.00221,128,"win",8,1,8,48,0,0,5.80837,0,0,128,8,0.32709,2152,"2020-08-13 14:12:56.0883",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,0,1,1,"lottery_lose",-1,-0.624716477994266,"BotR",46.4,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484693,32,0.55,3,1,"BotR","BotL","lottery",0.425244,5.10196,256,"win",9,1,9,48,0,1,3.05708,0,0,256,9,0.425244,2152,"2020-08-13 14:13:12.2195",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,128,1,1,"lottery_win",1,-0.362288718551675,"BotR",116.8,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484705,4,0.55,3,1,"BotR","BotL","surebet",0.546335,9.78123,24,"win",10,1,10,48,0,1,3.97178,0,0,24,10,0.546335,2152,"2020-08-13 14:13:33.4454",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,256,0,1,"lottery_win",1,-0.111719499668965,"BotR",-6.4,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484709,8,0.55,3,1,"BotR","BotL","surebet",0.300472,0.938226,24,"win",11,1,11,48,0,1,4.71906,0,0,24,11,0.300472,2152,"2020-08-13 14:13:46.5801",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,-0.709597268783352,"BotR",11.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484713,16,0.55,3,1,"BotR","BotL","lottery",0.278073,0.721504,0,"lose",12,1,12,48,0,0,3.26179,0,0,0,12,0.278073,2152,"2020-08-13 14:13:57.0677",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.787068171232672,"BotR",46.4,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484715,8,0.55,3,1,"BotR","BotL","lottery",1.1586,0.194139,0,"lose",13,1,13,48,0,2,4.53663,0,0,0,13,1.1586,2152,"2020-08-13 14:14:10.0558",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,1,1,"lottery_lose",-1,0.640015818281858,"BotR",11.2,1
