"","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","infusion_sessid","region","volume","concentration","drug","cntrl"
"1",23823753,2,0.5,3,1,NA,"BotL","surebet",0.450883001089096,18.7862606048584,36,"win",1,1,1,72,0,1,1,0,0,36,1,0.450883001089096,194285,2155,2021-01-06 06:49:36,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"2",23823771,2,0.5,3,1,NA,"BotL","surebet",0.387338012456894,2.19683504104614,36,"win",2,1,2,72,0,1,5.72665071487427,0,0,36,2,0.387338012456894,194285,2155,2021-01-06 06:49:49,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"3",23823803,4,0.5,3,1,NA,NA,"right",4.26737022399902,7.03153085708618,72,"win",3,1,3,72,0,5,5.14676380157471,0,0,72,3,4.26737022399902,194285,2155,2021-01-06 06:50:13,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"4",23823831,4,0.5,3,1,NA,"BotL","surebet",0.308618992567062,7.06256914138794,36,"win",4,1,4,72,0,1,6.84366035461426,1,0,36,4,0.308618992567062,194285,2155,2021-01-06 06:50:32,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"5",23823853,4,0.5,3,1,NA,"BotL","surebet",1.26996004581451,4.53116989135742,36,"win",5,1,5,72,0,2,5.64574146270752,0,0,36,5,1.26996004581451,194285,2155,2021-01-06 06:50:50,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"6",23823871,32,0.5,3,1,NA,NA,"right",0.533110022544861,3.93056011199951,72,"win",6,1,6,72,0,1,5.80689382553101,0,0,72,6,0.533110022544861,194285,2155,2021-01-06 06:51:07,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"7",23823893,8,0.5,3,1,"BotR","BotL","lottery",0.412151008844376,2.12628793716431,0,"lose",7,1,7,72,0,1,8.97847080230713,0,0,0,7,0.412151008844376,194285,2155,2021-01-06 06:51:26,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"8",23823919,2,0.5,3,1,NA,NA,"right",5.44717216491699,4.50275182723999,72,"lose",8,1,8,72,0,5,5.21047401428223,0,0,72,8,5.44717216491699,194285,2155,2021-01-06 06:51:46,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"9",23823945,8,0.5,3,1,"BotR","BotL","surebet",0.303813993930817,9.38938426971436,36,"lose",9,1,9,72,0,1,6.60642385482788,0,0,36,9,0.303813993930817,194285,2155,2021-01-06 06:52:07,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"10",23823967,32,0.5,3,1,NA,NA,"right",1.55497205257416,0.50839102268219,72,"lose",10,1,10,72,0,2,7.60915946960449,0,0,72,10,1.55497205257416,194285,2155,2021-01-06 06:52:22,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"11",23823987,16,0.5,3,1,"BotR","BotL","lottery",1.57852303981781,0.49125799536705,192,"win",11,1,11,72,0,2,5.53726387023926,0,0,192,11,1.57852303981781,194285,2155,2021-01-06 06:52:38,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"12",23824015,0,0.5,3,1,"BotR","BotL","lottery",2.13351106643677,4.5150260925293,0,"lose",12,1,12,72,0,1,8.91797161102295,0,0,0,12,2.13351106643677,194285,2155,2021-01-06 06:53:00,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"13",23824037,32,0.5,3,1,"BotR",NA,"lottery",0.433591991662979,0.656814992427826,384,"win",13,1,13,72,0,1,6.2317852973938,0,0,384,13,0.433591991662979,194285,2155,2021-01-06 06:53:15,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"14",23824069,16,0.5,3,1,"BotR","BotL","lottery",1.6514630317688,11.6393260955811,192,"win",14,1,14,72,0,2,7.00232362747192,0,0,192,14,1.6514630317688,194285,2155,2021-01-06 06:53:43,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
