cellid,beta,p,aligned_to,start,end,R_squared
18871,0.345989979680623,0.73017606416058,1,0,0.5,0.00132833391585496
18871,2.7643137162318,0.00694758534274119,1,0.5,1,0.270103992751853
18871,-0.473905498531902,0.63674099628848,3,-0.5,0,0.00248919313954488
18873,-1.35028106231789,0.18038841275828,1,0,0.5,0.0198561777065835
18873,0.536100648037324,0.593241539204661,1,0.5,1,0.104177147926849
18873,-1.49299645874232,0.139014870456302,3,-0.5,0,0.239228974975218
18877,0.601447399272732,0.549088316376698,1,0,0.5,0.00400323165754524
18877,0.0901108933554085,0.928403875955991,1,0.5,1,0.260345210301131
18877,-0.836631591427639,0.405065858460846,3,-0.5,0,0.29828244030091
18879,-2.50887172913162,0.0139436110027681,1,0,0.5,0.0653665728389489
18879,0.905126816111763,0.367869646243577,1,0.5,1,0.0090207143548432
18879,0.658146893440717,0.512161866798468,3,-0.5,0,0.237831054196758
18881,0.67683561476721,0.500285567938478,1,0,0.5,0.00506429404061726
18881,2.27969053047372,0.0250439225448143,1,0.5,1,0.0545919463837928
18881,-0.0813697994051696,0.935332648216559,3,-0.5,0,0.11140052236514
18883,1.05500172678642,0.294312462078457,1,0,0.5,0.0122159109415299
18883,2.40153375259747,0.0184304659026313,1,0.5,1,0.317175976207606
18883,1.37027838188249,0.174085649376956,3,-0.5,0,0.0204365542802886
18885,1.80370663697362,0.0746992419518104,1,0,0.5,0.167005092382316
18885,4.65812016852282,1.12474980462666e-05,1,0.5,1,0.194256542490673
18885,3.50133603000951,0.000729337000575876,3,-0.5,0,0.387476958524198
18887,3.18177203226757,0.00202284947591745,1,0,0.5,0.101111684531321
18887,3.43135262893476,0.00091681897765677,1,0.5,1,0.26044043271711
18887,2.71063168678135,0.00807329384808035,3,-0.5,0,0.0754772574463414
18889,0.572955932895042,0.56813568818684,1,0,0.5,0.00363428271286992
18889,1.66883849477701,0.0987036261425756,1,0.5,1,0.0300158566972303
18889,-0.25536089609374,0.799040265877874,3,-0.5,0,0.104416753992849
18901,5.05180427461004,2.35057739280496e-06,1,0,0.5,0.220919026549409
18901,3.73355313939647,0.000334377950321777,1,0.5,1,0.318684541033498
18901,3.00032771503751,0.00350773141877372,3,-0.5,0,0.0909271474615722
18905,4.41837753028391,2.82306162026712e-05,1,0,0.5,0.178247742967004
18905,1.48405526555346,0.141367350698325,1,0.5,1,0.0238867920220672
18905,0.512457545898043,0.609614691958519,3,-0.5,0,0.189734922437155
18909,0.369406807225491,0.712711942140408,1,0,0.5,0.00151394216193235
18909,0.900493620895377,0.370315385034231,1,0.5,1,0.262463765995333
18909,0.207934865471885,0.835760303377225,3,-0.5,0,0.582809140977111
18911,2.72395682281147,0.00777934141832594,1,0,0.5,0.0761644968545552
18911,2.28738497962597,0.0245714864694067,1,0.5,1,0.0549408066641491
18911,2.36392722311438,0.020283175795075,3,-0.5,0,0.0584607171930823
