"trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","isopto","start_time","duration","trialtype","region","notes"
26197373,8,0.55,3.5,1,"BotR","BotL","surebet",0.703959,1.12336,42,"win",1,1,1,48,0,3,1,1,0,42,1,0.703959,212189,2176,"2021-03-30 05:47:06.0229",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197393,8,0.55,3.5,1,"BotR","BotL","lottery",0.400491,2.13203,96,"win",2,1,2,48,0,1,5.21945,0,0,96,2,0.400491,212189,2176,"2021-03-30 05:47:21.3229",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197405,32,0.55,3.5,1,"BotR",NA,"lottery",0.440698,1.39154,384,"win",3,1,3,48,0,1,5.48039,0,0,384,3,0.440698,212189,2176,"2021-03-30 05:47:36.1421",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197427,4,0.55,3.5,1,"BotR","BotL","lottery",0.427195,4.77741,0,"lose",4,1,4,48,3,1,7.76295,1,0,0,4,0.427195,212189,2176,"2021-03-30 05:47:56.9934",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197439,32,0.55,3.5,1,"BotR","BotL","lottery",0.344615,2.98356,0,"lose",5,1,5,48,0,1,6.74177,0,0,0,5,0.344615,212189,2176,"2021-03-30 05:48:13.8467",1,8.74189,3,"all","bilateral FOF","36mW in machine"
26197453,0.5,0.55,3.5,1,"BotR","BotL","surebet",0.282184,2.3553,42,"lose",6,1,6,48,0,1,5.4395,0,0,42,6,0.282184,212189,2176,"2021-03-30 05:48:29.2005",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197475,2,0.55,3.5,1,"BotR","BotL","lottery",0.700562,2.01703,0,"lose",7,1,7,48,0,2,5.28606,0,0,0,7,0.700562,212189,2176,"2021-03-30 05:48:43.6064",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197495,32,0.55,3.5,1,"BotR","BotL","lottery",0.436432,2.13315,384,"win",8,1,8,48,0,1,6.0945,0,0,384,8,0.436432,212189,2176,"2021-03-30 05:48:59.7712",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197545,32,0.55,3.5,1,"BotR","BotL","lottery",0.788476,17.8438,0,"lose",9,1,9,48,1,1,4.24465,2,0,0,9,0.788476,212189,2176,"2021-03-30 05:49:30.2384",0,NA,NA,NA,"bilateral FOF","36mW in machine"
26197571,0.5,0.55,3.5,1,"BotR","BotL","surebet",0.31748,1.42607,42,"lose",10,1,10,48,0,1,6.59004,0,0,42,10,0.31748,212189,2176,"2021-03-30 05:49:46.5525",0,NA,NA,NA,"bilateral FOF","36mW in machine"
